Vehicle ID,Time Spent (s),Timestamp
38,39.08,2025-04-05 04:31:14
37,39.63,2025-04-05 04:31:14
24,44.23,2025-04-05 04:31:14
22,44.56,2025-04-05 04:31:14
20,44.56,2025-04-05 04:31:14
19,44.56,2025-04-05 04:31:14
18,44.56,2025-04-05 04:31:14
17,44.56,2025-04-05 04:31:14
16,44.56,2025-04-05 04:31:14
14,44.56,2025-04-05 04:31:14
13,44.56,2025-04-05 04:31:14
12,44.56,2025-04-05 04:31:14
11,44.56,2025-04-05 04:31:14
9,44.56,2025-04-05 04:31:14
57,38.86,2025-04-05 04:31:18
54,39.74,2025-04-05 04:31:18
50,40.15,2025-04-05 04:31:18
49,41.11,2025-04-05 04:31:18
46,41.32,2025-04-05 04:31:18
44,42.41,2025-04-05 04:31:18
38,43.29,2025-04-05 04:31:18
37,43.84,2025-04-05 04:31:18
24,48.44,2025-04-05 04:31:18
22,48.77,2025-04-05 04:31:18
20,48.77,2025-04-05 04:31:18
19,48.77,2025-04-05 04:31:18
17,48.77,2025-04-05 04:31:18
16,48.77,2025-04-05 04:31:18
14,48.77,2025-04-05 04:31:18
13,48.77,2025-04-05 04:31:18
12,48.77,2025-04-05 04:31:18
11,48.77,2025-04-05 04:31:18
9,48.77,2025-04-05 04:31:18
57,43.21,2025-04-05 04:31:22
54,44.08,2025-04-05 04:31:22
50,44.49,2025-04-05 04:31:22
46,45.66,2025-04-05 04:31:22
44,46.75,2025-04-05 04:31:22
38,47.63,2025-04-05 04:31:22
37,48.18,2025-04-05 04:31:22
24,52.78,2025-04-05 04:31:22
22,53.11,2025-04-05 04:31:22
20,53.11,2025-04-05 04:31:22
19,53.11,2025-04-05 04:31:22
17,53.11,2025-04-05 04:31:22
16,53.11,2025-04-05 04:31:22
14,53.11,2025-04-05 04:31:22
13,53.11,2025-04-05 04:31:22
12,53.11,2025-04-05 04:31:22
11,53.11,2025-04-05 04:31:22
9,53.11,2025-04-05 04:31:22
57,47.23,2025-04-05 04:31:26
54,48.10,2025-04-05 04:31:26
50,48.51,2025-04-05 04:31:26
46,49.69,2025-04-05 04:31:26
44,50.78,2025-04-05 04:31:26
38,51.66,2025-04-05 04:31:26
37,52.20,2025-04-05 04:31:26
24,56.80,2025-04-05 04:31:26
22,57.14,2025-04-05 04:31:26
20,57.14,2025-04-05 04:31:26
19,57.14,2025-04-05 04:31:26
17,57.14,2025-04-05 04:31:26
16,57.14,2025-04-05 04:31:26
14,57.14,2025-04-05 04:31:26
13,57.14,2025-04-05 04:31:26
12,57.14,2025-04-05 04:31:26
11,57.14,2025-04-05 04:31:26
9,57.14,2025-04-05 04:31:26
57,51.14,2025-04-05 04:31:30
54,52.02,2025-04-05 04:31:30
50,52.43,2025-04-05 04:31:30
46,53.60,2025-04-05 04:31:30
44,54.69,2025-04-05 04:31:30
38,55.57,2025-04-05 04:31:30
37,56.12,2025-04-05 04:31:30
24,60.72,2025-04-05 04:31:30
22,61.05,2025-04-05 04:31:30
20,61.05,2025-04-05 04:31:30
19,61.05,2025-04-05 04:31:30
17,61.05,2025-04-05 04:31:30
16,61.05,2025-04-05 04:31:30
14,61.05,2025-04-05 04:31:30
13,61.05,2025-04-05 04:31:30
12,61.05,2025-04-05 04:31:30
11,61.05,2025-04-05 04:31:30
9,61.05,2025-04-05 04:31:30
57,54.84,2025-04-05 04:31:34
54,55.72,2025-04-05 04:31:34
50,56.13,2025-04-05 04:31:34
46,57.30,2025-04-05 04:31:34
44,58.39,2025-04-05 04:31:34
38,59.27,2025-04-05 04:31:34
37,59.82,2025-04-05 04:31:34
24,64.42,2025-04-05 04:31:34
22,64.75,2025-04-05 04:31:34
20,64.75,2025-04-05 04:31:34
19,64.75,2025-04-05 04:31:34
17,64.75,2025-04-05 04:31:34
16,64.75,2025-04-05 04:31:34
14,64.75,2025-04-05 04:31:34
13,64.75,2025-04-05 04:31:34
12,64.75,2025-04-05 04:31:34
11,64.75,2025-04-05 04:31:34
9,64.75,2025-04-05 04:31:34
57,332.48,2025-04-05 04:36:11
54,333.35,2025-04-05 04:36:11
50,333.76,2025-04-05 04:36:11
46,334.94,2025-04-05 04:36:11
44,336.03,2025-04-05 04:36:11
38,336.91,2025-04-05 04:36:11
37,337.45,2025-04-05 04:36:11
24,342.05,2025-04-05 04:36:11
22,342.39,2025-04-05 04:36:11
20,342.39,2025-04-05 04:36:11
19,342.39,2025-04-05 04:36:11
17,342.39,2025-04-05 04:36:11
16,342.39,2025-04-05 04:36:11
14,342.39,2025-04-05 04:36:11
13,342.39,2025-04-05 04:36:11
12,342.39,2025-04-05 04:36:11
11,342.39,2025-04-05 04:36:11
9,342.39,2025-04-05 04:36:11
57,337.29,2025-04-05 04:36:16
54,338.17,2025-04-05 04:36:16
50,338.58,2025-04-05 04:36:16
46,339.75,2025-04-05 04:36:16
44,340.84,2025-04-05 04:36:16
38,341.72,2025-04-05 04:36:16
37,342.27,2025-04-05 04:36:16
24,346.87,2025-04-05 04:36:16
22,347.20,2025-04-05 04:36:16
20,347.20,2025-04-05 04:36:16
19,347.20,2025-04-05 04:36:16
17,347.20,2025-04-05 04:36:16
16,347.20,2025-04-05 04:36:16
14,347.20,2025-04-05 04:36:16
13,347.20,2025-04-05 04:36:16
12,347.20,2025-04-05 04:36:16
11,347.20,2025-04-05 04:36:16
9,347.20,2025-04-05 04:36:16
57,341.08,2025-04-05 04:36:20
54,341.95,2025-04-05 04:36:20
50,342.36,2025-04-05 04:36:20
46,343.53,2025-04-05 04:36:20
44,344.62,2025-04-05 04:36:20
38,345.50,2025-04-05 04:36:20
37,346.05,2025-04-05 04:36:20
